IMAGE F Q FRC E QS
202012.jpg 0.271893 0.197842 0.339217 0.344322 0.612789 
206062.jpg 0.126577 -0.323372 0.29099 0.32369 0.499374 
206097.jpg 0.0701209 0.0361663 0.0344226 0.0655943 0.453016 
207038.jpg 0.168035 0.185912 0.147912 0.20199 0.698896 
207049.jpg -0.0176799 -0.0591422 -0.047364 0.121659 0.749548 
207056.jpg -0.0429722 -0.0421314 -0.0450945 -0.0455061 0.81031 
208001.jpg 0.131653 0.153778 0.0260631 0.15046 0.641006 
208078.jpg -0.111362 -0.111109 -0.110727 -0.111554 0.837808 
209021.jpg 0.2283 0.220496 0.261888 0.271443 0.747311 
209070.jpg 0.130819 0.12373 0.133051 0.132959 0.626934 
2092.jpg 0.343698 0.355851 -0.365237 0.383073 0.502063 
210088.jpg -0.213884 -0.208136 -0.0749963 -0.215215 0.796956 
21077.jpg 0.253823 0.28016 0.383781 0.376155 0.843509 
216041.jpg -0.00458348 -0.00348735 -0.002405 0.0147273 0.763719 
216053.jpg 0.0664647 0.0898727 0.0443242 0.0711041 0.754329 
216066.jpg -0.0408601 -0.0109831 -0.0745395 -0.0337011 0.72807 
216081.jpg 0.070745 0.0380205 -0.0163789 0.0715092 0.511891 
217013.jpg -0.16276 -0.148883 0.168335 -0.205167 0.610103 
217090.jpg -0.279681 -0.279362 -0.277811 -0.279708 0.699607 
219090.jpg 0.00933262 0.0105635 -0.0281218 -0.0189344 0.499082 
220003.jpg 0.087902 0.111081 0.089227 0.141429 0.914404 
220075.jpg 0.00966307 -0.000345375 0.105619 0.0377207 0.483813 
22013.jpg -0.251104 -0.202849 -0.119784 -0.2534 0.56334 
22090.jpg 0.0623419 0.0644166 -0.0614005 0.01761 0.461277 
22093.jpg 0.0967607 0.113206 0.107371 0.0314055 0.762315 
223004.jpg -0.0234814 0.000138334 -0.0718746 -0.0195021 0.816683 
223060.jpg 0.17879 0.178499 -0.148654 0.177182 0.661217 
223061.jpg -0.263628 -0.251536 0.25374 -0.264045 0.747579 
225017.jpg -0.233865 -0.213557 0.11618 -0.251006 0.673107 
225022.jpg 0.0433467 0.0403167 0.086035 0.105668 0.833362 
226022.jpg 0.0515657 0.048085 -0.155181 0.132885 0.755845 
226033.jpg 0.0910464 0.095494 0.0981776 0.14933 0.669994 
226043.jpg 0.13753 -0.140764 0.117111 0.147059 0.453489 
226060.jpg -0.0176593 0.114855 0.0163433 -0.0612451 0.45393 
227040.jpg 0.389835 0.389452 0.363899 0.390424 0.777511 
227046.jpg -0.242928 -0.234517 -0.0936651 -0.244709 0.709128 
227092.jpg -0.231357 -0.231816 0.22987 -0.226454 0.976633 
228076.jpg 0.0506876 0.0325145 -0.133231 0.109248 0.807336 
229036.jpg 0.280248 0.277556 -0.311494 0.310015 0.933202 
230063.jpg 0.134167 0.197485 -0.0640794 0.137296 0.600005 
230098.jpg -0.126725 -0.124505 0.0401578 -0.126766 0.73797 
23025.jpg 0.189006 0.195263 -0.19446 0.195059 0.740391 
23050.jpg 0.272542 -0.270562 0.315095 0.318357 0.585758 
23080.jpg 0.114518 -0.0839752 0.198646 0.156066 0.726603 
23084.jpg 0.00800827 0.0141149 -0.0242059 -0.00425823 0.899569 
231015.jpg 0.104127 0.06958 -0.148406 0.14715 0.744281 
232038.jpg -0.0382701 -0.0342557 0.0394993 0.0065182 0.504829 
232076.jpg 0.294297 0.200226 0.292981 0.310857 0.572796 
235098.jpg 0.0321065 0.0375512 0.0479975 0.0217856 0.846097 
236017.jpg -0.00565341 -0.00469843 0.0652389 -0.0352288 0.608881 
236037.jpg 0.0623852 0.0474999 -0.0233733 0.0962622 0.733435 
238011.jpg -0.0933812 -0.0961421 0.0269523 -0.0968566 0.669742 
238025.jpg -0.0579847 -0.0583627 0.0585366 -0.0578722 0.854374 
239007.jpg 0.0392491 0.0326146 -0.0673508 0.0772359 0.937589 
239096.jpg 0.151321 0.13294 -0.172359 0.181206 0.507346 
24004.jpg -0.173575 -0.175257 0.214593 -0.0882045 0.920734 
24063.jpg -0.0966064 -0.155505 0.122681 -0.0852562 0.797722 
24077.jpg -0.0776828 -0.0517503 0.0227343 -0.0755716 0.73794 
241004.jpg 0.384391 0.393335 -0.391433 0.393341 0.950082 
241048.jpg -0.000332739 0.00563558 0.0638328 0.00836744 0.889338 
242078.jpg -0.0550642 0.00520322 -0.0689603 -0.0439163 0.627944 
243095.jpg 0.0345534 0.00433178 0.056295 0.0434164 0.860622 
245051.jpg -0.00151592 0.00227956 0.00950928 -0.00115817 0.736987 
246009.jpg 0.214575 0.20815 0.225116 0.224684 0.921691 
246016.jpg 0.0503305 0.0415638 -0.0339648 0.0494598 0.787881 
246053.jpg -0.0219788 -0.0317295 -0.0489886 -0.040906 0.763101 
247003.jpg 0.249418 0.249405 0.202167 0.219086 0.782742 
247012.jpg -0.151786 -0.154907 -0.0074008 -0.101932 0.786062 
247085.jpg 0.227938 0.229048 -0.207755 0.22958 0.692765 
249021.jpg 0.176905 0.0837074 0.266988 0.254819 0.698974 
249061.jpg 0.000478086 0.01307 -0.0596402 0.0164354 0.855418 
249087.jpg -0.102952 -0.0904371 -0.0920316 -0.106522 0.785362 
250047.jpg -0.259724 -0.231399 -0.250711 -0.264924 0.512494 
250087.jpg 0.0461765 0.0412968 -0.0408144 0.0466068 0.787243 
